,Transaction Date,Transaction,Score,Running Score
92,2020-11-18 00:00:00,added Jordan Nwora to MIL,0,22639
93,2020-11-23 00:00:00,added Pat Connaughton to MIL,586,23226
94,2020-11-23 00:00:00,added Jordan Nwora to MIL,-5159,18066
95,2020-11-23 00:00:00,added Mamadi Diakite to MIL,-338,17727
96,2020-11-23 00:00:00,lost George Hill to OKC,-369,17358
97,2020-11-23 00:00:00,lost Eric Bledsoe to NOP,4222,21580
98,2020-11-23 00:00:00,lost R.J. Hampton to DEN,1258,22839
99,2020-11-23 00:00:00,added Jrue Holiday to MIL,20316,43155
100,2020-11-23 00:00:00,added Sam Merrill to MIL,0,43155
101,2020-11-24 00:00:00,added Bryn Forbes to MIL,-1760,41395
102,2020-11-24 00:00:00,added Bobby Portis to MIL,2058,43453
103,2020-11-24 00:00:00,added Jaylen Adams to MIL,-356,43097
104,2020-11-25 00:00:00,added Torrey Craig to MIL,-120,42976
105,2020-11-25 00:00:00,added D.J. Augustin to MIL,-1568,41407
106,2020-11-30 00:00:00,added Sam Merrill to MIL,-233,41174
107,2020-11-30 00:00:00,added Nik Stauskas to MIL,0,41174
108,2021-03-14 00:00:00,added Axel Toupane to MIL,-183,40991
109,2021-03-18 00:00:00,lost Torrey Craig to PHO,1305,42297
110,2021-03-19 00:00:00,lost D.J. Augustin to HOU,3025,45322
111,2021-03-19 00:00:00,lost D.J. Wilson to HOU,885,46207
112,2021-03-19 00:00:00,lost Josh Christopher to HOU,8048,54256
113,2021-03-19 00:00:00,lost Kobe Brown to HOU,0,54256
114,2021-03-19 00:00:00,added Rodions Kurucs to MIL,74,54331
115,2021-03-19 00:00:00,added P.J. Tucker to MIL,-1151,53180
116,2021-03-19 00:00:00,added Isaiah Todd to MIL,0,53180
117,2021-03-19 00:00:00,added MarJon Beauchamp to MIL,0,53180
118,2021-04-01 00:00:00,added Jeff Teague to MIL,-467,52712
119,2021-04-21 00:00:00,added Justin Jackson to MIL,-264,52448
120,2021-05-13 00:00:00,added Elijah Bryant to MIL,0,52448
121,2021-07-29 00:00:00,added Isaiah Todd to MIL,0,52448
122,2021-07-30 00:00:00,lost Isaiah Todd to IND,0,52448
123,2021-07-30 00:00:00,added Georgios Kalaitzakis to MIL,0,52448
124,2021-07-30 00:00:00,added Sandro Mamukelashvili to MIL,0,52448
125,2021-08-03 00:00:00,added Sandro Mamukelashvili to MIL,-903,51545
126,2021-08-06 00:00:00,added Semi Ojeleye to MIL,-2032,49512
127,2021-08-06 00:00:00,added Rodney Hood to MIL,-2033,47479
128,2021-08-06 00:00:00,added George Hill to MIL,-3140,44338
129,2021-08-06 00:00:00,added Bobby Portis to MIL,405,44744
130,2021-08-07 00:00:00,lost Sam Merrill to MEM,324,45069
131,2021-08-07 00:00:00,added Grayson Allen to MIL,919,45988
132,2021-08-10 00:00:00,added Georgios Kalaitzakis to MIL,-379,45609
133,2021-08-12 00:00:00,added Thanasis Antetokounmpo to MIL,-3221,42387
134,2021-09-07 00:00:00,added Tremont Waters to MIL,0,42387
135,2021-09-14 00:00:00,added Justin Robinson to MIL,-1306,41081
136,2021-09-23 00:00:00,added Javin DeLaurier to MIL,0,41081
137,2021-09-28 00:00:00,added Johnny O'Bryant to MIL,0,41081
138,2021-09-29 00:00:00,added Elijah Bryant to MIL,0,41081
139,2021-10-11 00:00:00,added Jemerrio Jones to MIL,0,41081
140,2021-10-12 00:00:00,added Rayjon Tucker to MIL,0,41081
141,2021-10-13 00:00:00,added Jalen Lecque to MIL,0,41081
142,2021-10-16 00:00:00,added Wenyen Gabriel to MIL,0,41081
143,2021-11-29 00:00:00,added Javonte Smart to MIL,-1296,39785
144,2021-11-30 00:00:00,added DeMarcus Cousins to MIL,172,39957
145,2021-12-03 00:00:00,added Wesley Matthews to MIL,-3306,36650
146,2021-12-23 00:00:00,added Javin DeLaurier to MIL,21,36671
147,2022-01-03 00:00:00,added Luke Kornet to MIL,-74,36597
148,2022-01-07 00:00:00,added Jeff Dowtin to MIL,-67,36529
149,2022-01-07 00:00:00,added Langston Galloway to MIL,-445,36083
150,2022-01-13 00:00:00,added Lindell Wigginton to MIL,-995,35088
151,2022-02-05 00:00:00,added Greg Monroe to MIL,-315,34773
152,2022-02-10 00:00:00,lost Donte DiVincenzo to SAC,399,35172
153,2022-02-10 00:00:00,lost Rodney Hood to LAC,307,35480
154,2022-02-10 00:00:00,lost Semi Ojeleye to LAC,303,35783
155,2022-02-10 00:00:00,added Isaiah Wong to MIL,0,35783
156,2022-02-10 00:00:00,added future 2nd round pick to MIL,0,35783
157,2022-02-10 00:00:00,added Serge Ibaka to MIL,-813,34970
158,2022-02-16 00:00:00,added DeAndre' Bembry to MIL,-300,34670
159,2022-02-24 00:00:00,added Jevon Carter to MIL,423,35093
160,2022-04-06 00:00:00,added Luca Vildoza to MIL,93,35187
161,2022-04-08 00:00:00,added Rayjon Tucker to MIL,193,35380
162,2022-06-23 00:00:00,added MarJon Beauchamp to MIL,0,35380
163,2022-06-24 00:00:00,added Hugo Besson to MIL,0,35380
164,2022-07-01 00:00:00,added AJ Green to MIL,-310,35069
165,2022-07-06 00:00:00,added Joe Ingles to MIL,-730,34338
166,2022-07-06 00:00:00,added Jevon Carter to MIL,-1086,33252
167,2022-07-06 00:00:00,added Bobby Portis to MIL,1272,34525
168,2022-07-06 00:00:00,added Wesley Matthews to MIL,-2214,32311
169,2022-07-07 00:00:00,added MarJon Beauchamp to MIL,-3364,28946
170,2022-07-19 00:00:00,added Serge Ibaka to MIL,-832,28114
171,2022-09-16 00:00:00,added Rob Edwards to MIL,0,28114
172,2022-09-16 00:00:00,added Alex AntetoKounmpo to MIL,0,28114
173,2022-09-17 00:00:00,added Iverson Molinar to MIL,0,28114
174,2022-09-18 00:00:00,added Ibou Badji to MIL,0,28114
175,2022-09-20 00:00:00,added Marques Bolden to MIL,0,28114
176,2022-09-26 00:00:00,added Jordan Nwora to MIL,-1432,26681
177,2022-10-14 00:00:00,added Jontay Porter to MIL,0,26681
178,2022-10-15 00:00:00,added Elijah Hughes to MIL,0,26681
179,2023-02-09 00:00:00,lost George Hill to IND,99,26781
180,2023-02-09 00:00:00,lost Serge Ibaka to IND,0,26781
181,2023-02-09 00:00:00,lost Jordan Nwora to IND,1063,27844
182,2023-02-09 00:00:00,lost Isaiah Wong to IND,0,27844
183,2023-02-09 00:00:00,lost future 2nd round pick to IND,0,27844
184,2023-02-09 00:00:00,lost future 2nd round pick to IND,0,27844
185,2023-02-09 00:00:00,lost future 2nd round pick to BRK,0,27844
186,2023-02-09 00:00:00,lost future 2nd round pick to BRK,0,27844
187,2023-02-09 00:00:00,added Jae Crowder to MIL,408,28252
188,2023-02-22 00:00:00,added Meyers Leonard to MIL,0,28252
189,2023-03-04 00:00:00,added Goran Dragic to MIL,-431,27821
190,2023-03-07 00:00:00,added Lindell Wigginton to MIL,-582,27238
191,2023-03-14 00:00:00,added Meyers Leonard to MIL,-570,26668
192,2023-06-22 00:00:00,added Chris Livingston to MIL,0,26668
193,2023-06-22 00:00:00,added Andre Jackson to MIL,0,26668
194,2023-06-22 00:00:00,lost future 2nd round pick to ORL,0,26668
195,2023-07-05 00:00:00,added Omari Moore to MIL,0,26668
196,2023-07-06 00:00:00,added Robin Lopez to MIL,0,26668
197,2023-07-06 00:00:00,added Malik Beasley to MIL,0,26668
198,2023-07-06 00:00:00,added Brook Lopez to MIL,0,26668
199,2023-07-06 00:00:00,added Khris Middleton to MIL,0,26668
200,2023-07-07 00:00:00,added Andre Jackson Jr. to MIL,0,26668
