,Transaction Date,Transaction,Score,Running Score
94,1987-11-03 00:00:00,lost Les Jepsen to ATL,0,-1087
95,1987-11-03 00:00:00,added Dallas Comegys to BRK,-4712,-5800
96,1987-11-05 00:00:00,added Adrian Branch to BRK,-1324,-7124
97,1987-12-03 00:00:00,added Johnny Moore to BRK,-227,-7351
98,1987-12-15 00:00:00,added Dudley Bradley to BRK,1288,-6062
99,1988-01-16 00:00:00,lost Ben Coleman to PHI,6051,-11
100,1988-01-16 00:00:00,lost Mike Gminski to PHI,-610,-621
101,1988-01-16 00:00:00,added Roy Hinson to BRK,-7376,-7998
102,1988-01-16 00:00:00,added Tim McCormick to BRK,-1513,-9511
103,1988-01-16 00:00:00,added Stanley Brundy to BRK,0,-9511
104,1988-02-27 00:00:00,added Ricky Wilson to BRK,173,-9337
105,1988-03-19 00:00:00,added Duane Washington to BRK,312,-9025
106,1988-06-28 00:00:00,added Chris Morris to BRK,18531,9505
107,1988-06-28 00:00:00,added Charles Shackleford to BRK,-7008,2497
108,1988-06-28 00:00:00,added Derrick Hamilton to BRK,0,2497
109,1988-07-19 00:00:00,added Anthony Bowie to BRK,0,2497
110,1988-08-29 00:00:00,lost Dallas Comegys to SAS,3357,5854
111,1988-08-29 00:00:00,added Walter Berry to BRK,-2279,3574
112,1988-08-30 00:00:00,added Kevin Williams to BRK,-2208,1366
113,1988-10-04 00:00:00,added Frank Johnson to BRK,0,1366
114,1988-10-31 00:00:00,lost Randy Brown to SAC,6109,7475
115,1988-10-31 00:00:00,lost Jeff McInnis to SAC,0,7475
116,1988-10-31 00:00:00,added Mike McGee to BRK,-2635,4840
117,1988-11-02 00:00:00,lost Tony Brown to HOU,819,5659
118,1988-11-02 00:00:00,lost Frank Johnson to HOU,2637,8296
119,1988-11-02 00:00:00,lost Tim McCormick to HOU,5296,13592
120,1988-11-02 00:00:00,lost Lorenzo Romar to HOU,0,13592
121,1988-11-02 00:00:00,added Joe Barry Carroll to BRK,-5302,8290
122,1988-11-02 00:00:00,added Lester Conner to BRK,5037,13327
123,1988-11-23 00:00:00,added Ron Cavenall to BRK,-134,13193
124,1989-01-31 00:00:00,added Bill Jones to BRK,-276,12916
125,1989-02-07 00:00:00,added Corey Gaines to BRK,0,12916
126,1989-02-27 00:00:00,added Corey Gaines to BRK,-1112,11804
127,1989-06-24 00:00:00,lost Buck Williams to POR,2083,13888
128,1989-06-24 00:00:00,added Sam Bowie to BRK,-5015,8873
129,1989-06-24 00:00:00,added Mookie Blaylock to BRK,0,8873
130,1989-06-27 00:00:00,added Mookie Blaylock to BRK,-1795,7077
131,1989-06-27 00:00:00,added Stanley Brundy to BRK,-396,6680
132,1989-08-01 00:00:00,added Jay Taylor to BRK,-296,6384
133,1989-09-19 00:00:00,added Anthony Mason to BRK,-820,5563
134,1989-09-20 00:00:00,added Purvis Short to BRK,-4426,1137
135,1989-10-03 00:00:00,added Jaren Jackson to BRK,-528,609
136,1989-10-04 00:00:00,added Rick Carlisle to BRK,-344,265
137,1989-10-05 00:00:00,lost John Bagley to BOS,4793,5058
138,1989-10-05 00:00:00,added Žan Tabak to BRK,0,5058
139,1989-10-05 00:00:00,added Richard Petruška to BRK,0,5058
140,1990-02-12 00:00:00,added Leon Wood to BRK,0,5058
141,1990-02-12 00:00:00,added Derrick Gervin to BRK,-1016,4041
142,1990-02-21 00:00:00,lost Joe Barry Carroll to DEN,1653,5695
143,1990-02-21 00:00:00,lost Žan Tabak to CLE,0,5695
144,1990-02-21 00:00:00,lost Richard Petruška to CLE,0,5695
145,1990-02-21 00:00:00,added Chris Dudley to BRK,-16068,-10372
146,1990-03-05 00:00:00,added Leon Wood to BRK,-700,-11072
