,Transaction Date,Transaction,Score,Running Score
89,2022-02-10 00:00:00,added Yannick Nzosa to WAS,0,-39552
90,2022-02-10 00:00:00,lost Montrezl Harrell to CHO,-943,-40495
91,2022-02-10 00:00:00,added Vernon Carey Jr. to WAS,-337,-40832
92,2022-02-10 00:00:00,added Ish Smith to WAS,-922,-41754
93,2022-02-10 00:00:00,added Trayce Jackson-Davis to WAS,0,-41754
94,2022-02-10 00:00:00,lost Aaron Holiday to PHO,286,-41468
95,2022-02-28 00:00:00,added Tomas Satoransky to WAS,-624,-42092
96,2022-03-09 00:00:00,added Jordan Schakel to WAS,-288,-42380
97,2022-06-23 00:00:00,added Johnny Davis to WAS,0,-42380
98,2022-06-23 00:00:00,added Yannick Nzosa to WAS,0,-42380
99,2022-07-01 00:00:00,added Johnny Davis to WAS,-3130,-45510
100,2022-07-01 00:00:00,added Anthony Gill to WAS,-2059,-47569
101,2022-07-06 00:00:00,lost Kentavious Caldwell-Pope to DEN,2381,-45188
102,2022-07-06 00:00:00,lost Ish Smith to DEN,2626,-42562
103,2022-07-06 00:00:00,added Will Barton to WAS,-2111,-44673
104,2022-07-06 00:00:00,added Monte Morris to WAS,847,-43826
105,2022-07-06 00:00:00,added Bradley Beal to WAS,3011,-40814
106,2022-07-06 00:00:00,added Delon Wright to WAS,4151,-36663
107,2022-07-19 00:00:00,added Taj Gibson to WAS,-1536,-38199
108,2022-08-09 00:00:00,added Makur Maker to WAS,0,-38199
109,2022-09-12 00:00:00,added Davion Mintz to WAS,0,-38199
110,2022-09-12 00:00:00,added Quenton Jackson to WAS,0,-38199
111,2022-09-13 00:00:00,added Jordan Goodwin to WAS,0,-38199
112,2022-09-27 00:00:00,added Devon Dotson to WAS,0,-38199
113,2022-10-12 00:00:00,added Craig Sword to WAS,0,-38199
114,2022-10-15 00:00:00,added Jaime Echenique to WAS,0,-38199
115,2022-10-15 00:00:00,added Jordan Goodwin to WAS,774,-37425
116,2022-11-20 00:00:00,added Devon Dotson to WAS,-280,-37705
117,2023-01-23 00:00:00,lost Rui Hachimura to LAL,1402,-36303
118,2023-01-23 00:00:00,added Kendrick Nunn to WAS,-697,-37001
119,2023-01-23 00:00:00,added Tristan Vukcevic to WAS,0,-37001
120,2023-01-23 00:00:00,added future 2nd round pick to WAS,0,-37001
121,2023-01-23 00:00:00,added future 2nd round pick to WAS,0,-37001
122,2023-02-10 00:00:00,added Quenton Jackson to WAS,-688,-37689
123,2023-03-01 00:00:00,added Jay Huff to WAS,380,-37309
124,2023-03-03 00:00:00,added Jamaree Bouyea to WAS,-106,-37416
125,2023-03-17 00:00:00,added Xavier Cooks to WAS,-453,-37870
