,Transaction Date,Transaction,Score,Running Score
91,2016-01-29 00:00:00,added Jordan McRae to PHO,-90,-32629
92,2016-02-05 00:00:00,added Orlando Johnson to PHO,-112,-32742
93,2016-02-18 00:00:00,lost Markieff Morris to WAS,9144,-23597
94,2016-02-18 00:00:00,added DeJuan Blair to PHO,0,-23597
95,2016-02-18 00:00:00,added Kris Humphries to PHO,-199,-23797
96,2016-02-18 00:00:00,added Georgios Papagiannis to PHO,0,-23797
97,2016-02-20 00:00:00,added Phil Pressey to PHO,-440,-24238
98,2016-03-08 00:00:00,added Alan Williams to PHO,0,-24238
99,2016-03-08 00:00:00,added Chase Budinger to PHO,-680,-24918
100,2016-03-18 00:00:00,added Alan Williams to PHO,-934,-25852
101,2016-06-23 00:00:00,added Dragan Bender to PHO,0,-25852
102,2016-06-23 00:00:00,added Georgios Papagiannis to PHO,0,-25852
103,2016-06-23 00:00:00,added Skal Labissière to PHO,0,-25852
104,2016-06-23 00:00:00,added Tyler Ulis to PHO,0,-25852
105,2016-06-23 00:00:00,lost Bogdan Bogdanović to SAC,3371,-22481
106,2016-06-23 00:00:00,lost Skal Labissière to SAC,5478,-17002
107,2016-06-23 00:00:00,lost Georgios Papagiannis to SAC,2009,-14992
108,2016-06-23 00:00:00,lost Xavier Tillman Sr. to SAC,0,-14992
109,2016-06-23 00:00:00,added Marquese Chriss to PHO,0,-14992
110,2016-07-07 00:00:00,added Dragan Bender to PHO,-13969,-28962
111,2016-07-07 00:00:00,added Marquese Chriss to PHO,-8110,-37072
112,2016-07-07 00:00:00,added Tyler Ulis to PHO,-9990,-47062
113,2016-07-08 00:00:00,added Jared Dudley to PHO,-3077,-50139
114,2016-07-19 00:00:00,added Leandro Barbosa to PHO,-2407,-52547
115,2016-09-13 00:00:00,added Shaquille Harrison to PHO,0,-52547
116,2016-09-13 00:00:00,added Derrick Jones Jr. to PHO,-1095,-53642
117,2016-09-14 00:00:00,added Alec Brown to PHO,0,-53642
118,2016-09-25 00:00:00,added Gracin Bakumanya to PHO,0,-53642
119,2016-09-25 00:00:00,added Derek Cooke to PHO,0,-53642
120,2017-01-27 00:00:00,added Ronnie Price to PHO,0,-53642
121,2017-02-23 00:00:00,lost P.J. Tucker to TOR,-304,-53946
122,2017-02-23 00:00:00,added Jared Sullinger to PHO,0,-53946
123,2017-02-23 00:00:00,added Alec Peters to PHO,0,-53946
124,2017-02-23 00:00:00,added George King to PHO,0,-53946
125,2017-02-23 00:00:00,added Cenk Akyol to PHO,0,-53946
126,2017-02-23 00:00:00,added Mike Scott to PHO,0,-53946
127,2017-02-24 00:00:00,added Ronnie Price to PHO,-455,-54402
128,2017-03-19 00:00:00,added Jarell Eddie to PHO,-148,-54551
129,2017-04-09 00:00:00,added Elijah Millsap to PHO,-437,-54988
130,2017-06-22 00:00:00,added Josh Jackson to PHO,0,-54988
131,2017-06-22 00:00:00,added Davon Reed to PHO,0,-54988
132,2017-06-22 00:00:00,added Alec Peters to PHO,0,-54988
133,2017-07-04 00:00:00,added Josh Jackson to PHO,-17372,-72360
134,2017-07-04 00:00:00,added Mike James to PHO,-802,-73163
135,2017-07-06 00:00:00,added Davon Reed to PHO,-1548,-74712
136,2017-07-26 00:00:00,added Alan Williams to PHO,-350,-75062
137,2017-09-14 00:00:00,added Peter Jok to PHO,0,-75062
138,2017-09-16 00:00:00,added Alec Peters to PHO,-630,-75692
139,2017-09-22 00:00:00,added Troy Daniels to PHO,-7029,-82721
140,2017-09-22 00:00:00,added Jarred Vanderbilt to PHO,0,-82721
141,2017-09-22 00:00:00,added Anthony Bennett to PHO,0,-82721
142,2017-09-24 00:00:00,added Alex Len to PHO,418,-82303
143,2017-09-26 00:00:00,added T.J. Warren to PHO,-2145,-84448
144,2017-10-13 00:00:00,added Tidjan Keita to PHO,0,-84448
145,2017-11-07 00:00:00,lost Eric Bledsoe to MIL,-16275,-100723
146,2017-11-07 00:00:00,added Greg Monroe to PHO,976,-99747
147,2017-11-07 00:00:00,added Desmond Bane to PHO,0,-99747
148,2017-12-08 00:00:00,added Danuel House to PHO,-644,-100392
149,2017-12-13 00:00:00,added Isaiah Canaan to PHO,-459,-100852
150,2018-02-02 00:00:00,added Josh Gray to PHO,-361,-101213
151,2018-02-08 00:00:00,lost Jarred Vanderbilt to ORL,0,-101213
152,2018-02-08 00:00:00,added Elfrid Payton to PHO,-3684,-104897
