,date,Transaction,value,Running Score
108,2005-10-04,lost Jon Brockman to CHI,0,-77137
109,2005-10-04,added Eddy Curry to NYK,-14624,-91761
110,2005-10-04,added Antonio Davis to NYK,-3070,-94832
111,2005-10-04,added Wilson Chandler to NYK,0,-94832
112,2005-10-06,added Matt Barnes to NYK,-102,-94934
113,2005-12-06,added Qyntel Woods to NYK,-810,-95745
114,2006-02-03,lost Antonio Davis to TOR,974,-94771
115,2006-02-03,added Jalen Rose to NYK,0,-94771
116,2006-02-03,added Renaldo Balkman to NYK,0,-94771
117,2006-02-22,lost Trevor Ariza to ORL,-2118,-96889
118,2006-02-22,lost Anfernee Hardaway to ORL,0,-96889
119,2006-02-22,added Steve Francis to NYK,-188,-97078
120,2006-04-06,added Ime Udoka to NYK,-615,-97693
121,2006-06-28,added Renaldo Balkman to NYK,-576,-98270
122,2006-06-28,added Mardy Collins to NYK,-6946,-105217
123,2006-08-07,added Jared Jeffries to NYK,-14638,-119855
124,2006-10-25,added Kelvin Cato to NYK,-266,-120121
125,2007-03-23,added Randolph Morris to NYK,-2390,-122511
126,2007-06-28,added Wilson Chandler to NYK,-10347,-132858
127,2007-06-28,lost Steve Francis to POR,0,-132858
128,2007-06-28,lost Channing Frye to POR,5548,-127310
129,2007-06-28,added Dan Dickau to NYK,0,-127310
130,2007-06-28,added Fred Jones to NYK,-2284,-129594
131,2007-06-28,added Zach Randolph to NYK,-1424,-131018
132,2007-06-28,lost Ömer Aşık to POR,0,-131018
133,2007-06-28,added Demetris Nichols to NYK,-10,-131029
