,team_shortcode,team,start_year,end_year,name,href,draft_total_bpm,draft_total_vorp,trade_total_bpm,trade_total_vorp,signing_total_bpm,signing_total_vorp,final_bpm,final_vorp,draft_rating_vorp,draft_rating_bpm,draft_num_players,trade_num,signing_num_players,trade_rating_vorp,trade_rating_bpm,signing_rating_vorp,signing_rating_bpm,draft_rating_percentile_vorp,draft_rating_grade_vorp,trade_rating_percentile_vorp,trade_rating_grade_vorp,signing_rating_percentile_vorp,signing_rating_grade_vorp,draft_rating_percentile_bpm,draft_rating_grade_bpm,trade_rating_percentile_bpm,trade_rating_grade_bpm,signing_rating_percentile_bpm,signing_rating_grade_bpm,is_noob,is_active,bpm_rank,vorp_rank
81,"['HOU', 'POR']","['Houston Rockets', 'Portland Trail Blazers']",2007,2007,Tod Leiweke,/executives/leiweto99x.html,0.0,0.0,0.0,0.0,-1030.6999999999998,-0.2,-1030.6999999999998,-0.2,,,0,0,4,,,,,,,,,,,,,,,,,True,False,64.0,119.0
82,['MEM'],['Memphis Grizzlies'],2012,2014,Jason Levien,/executives/levieja99x.html,-949.9000000000001,-0.2,7968.8,2.5999999999999996,3631.8000000000006,4.000000000000001,10650.7,6.4,,,1,27,10,0.375,0.125,0.5555555555555556,0.1111111111111111,,,94.92753623188406,A+,100.0,S,,,70.28985507246377,B,99.33774834437087,S,True,False,52.0,104.0
83,['UTA'],['Utah Jazz'],2012,2021,Dennis Lindsey,/executives/lindsde99x.html,-22340.699999999997,1.2999999999999998,61247.8,0.20000000000000115,127862.29999999996,87.80000000000003,166769.39999999997,89.30000000000003,1.1,2.7,10,97,108,0.25,0.125,0.11,-0.21,50.45871559633027,C,86.95652173913044,A-,84.10596026490066,A-,69.72477064220183,B,70.28985507246377,B,86.09271523178808,A-,False,False,14.0,20.0
84,['CHA'],['Charlotte Hornets'],1990,1990,Gene Littles,/executives/littlge01x.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,2,,,,,,,,,,,,,,,,,True,False,61.0,118.0
85,['PHI'],['Philadelphia 76ers'],1994,1996,John Lucas,/executives/lucasjo01x.html,-33358.4,-1.8000000000000003,10734.999999999998,6.500000000000002,-42509.09999999997,-3.000000000000002,-65132.49999999998,1.6999999999999997,-14.0,-8.75,4,13,24,,,-0.5416666666666666,-0.7916666666666666,4.587155963302752,F,,,1.9867549668874172,F-,20.18348623853211,D-,,,1.3245033112582782,F-,True,False,121.0,113.0
86,['PHI'],['Philadelphia 76ers'],1992,1994,Jim Lynam,/executives/lynamji99x.html,-22034.0,4.699999999999999,-134468.1,-41.2,-20108.600000000035,-2.400000000000002,-176610.70000000004,-38.900000000000006,,,3,19,11,-0.6,-0.6,-0.6363636363636364,-0.9090909090909091,,,0.0,F-,0.0,F-,,,3.6231884057971016,F,0.6622516556291391,F-,True,False,152.0,156.0
87,['BRK'],['Brooklyn Nets'],2016,2026,Sean Marks,/executives/marksse99x.html,-18691.300000000003,8.500000000000002,10640.041187019062,43.74498120067115,-68180.09999999999,28.899999999999977,-76231.35881298094,81.14498120067113,2.6,6.9,10,152,161,0.07692307692307693,0.0,0.0,-0.35333333333333333,58.71559633027523,C+,70.28985507246377,B,68.87417218543047,B,79.81651376146789,B+,50.72463768115942,C,70.19867549668874,B,False,True,125.0,26.0
88,"['DET', 'MIN']","['Detroit Pistons', 'Minnesota Timberwolves']",1992,1995,Jack McCloskey,/executives/mccloja01x.html,123506.6,102.6,124820.29999999999,23.4,-58268.29999999996,-3.69999999999996,190058.60000000003,122.30000000000003,10.047619047619047,7.904761904761905,21,121,72,0.06666666666666667,0.15555555555555556,-0.19718309859154928,-0.6619718309859155,90.8256880733945,A,68.1159420289855,B,11.920529801324504,F,82.56880733944953,A-,74.6376811594203,B+,10.596026490066226,F,False,False,10.0,14.0
89,['PHO'],['Phoenix Suns'],2013,2018,Ryan McDonough,/executives/mcdonry99x.html,-36168.4,20.5,-3922.7999999999993,-31.900000000000002,-16889.30000000001,20.200000000000017,-56980.50000000001,8.800000000000011,-12.5,-10.416666666666666,12,81,76,-0.2,0.08,0.0,-0.5079365079365079,8.256880733944953,F,19.565217391304348,F,68.87417218543047,B,14.678899082568808,F,59.42028985507246,C+,35.09933774834437,D+,False,False,118.0,100.0
90,['MIN'],['Minnesota Timberwolves'],1995,2008,Kevin McHale,/executives/mchalke01x.html,168648.79999999993,87.2,-135401.3,-46.00000000000001,-134718.3,8.800000000000026,-101470.80000000003,50.00000000000003,3.2222222222222223,3.7222222222222223,18,102,64,0.0,-0.1724137931034483,-0.09375,-0.53125,64.22018348623853,B-,55.79710144927536,C+,39.0728476821192,D+,72.4770642201835,B,22.463768115942027,D-,29.13907284768212,D,False,False,136.0,42.0
