,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp
1,Ben McLemore,added Ben McLemore to SAC,-25597.600000000002,-2.7,2013-06-27 00:00:00,1,SAC,/players/m/mclembe01.html,0.0,draft,-25597.600000000002,-2.7,0.0,0.0,False,-25597.600000000002,-2.7,-25597.600000000002,-2.7,-44,-44,7,7,-38855.4,-3.4
2,Ray McCallum,added Ray McCallum to SAC,0.0,0.0,2013-06-27 00:00:00,1,SAC,/players/m/mccalra01.html,0.0,draft,-5652.700000000001,-0.3,0.0,0.0,False,0.0,0.0,-25597.600000000002,-2.7,-7,4,36,36,-7300.8,-0.4
32,Nik Stauskas,added Nik Stauskas to SAC,0.0,0.0,2014-06-26 00:00:00,1,SAC,/players/s/stausni01.html,15.0,draft,-3719.1,-0.4,0.0,0.0,False,0.0,0.0,-42777.50000000001,-10.100000000000001,-44,-43,8,8,-20103.0,-1.7
