,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Patrick Williams,added Patrick Williams to CHI,0.0,0.0,2020-11-18 00:00:00,1,CHI,/players/w/willipa01.html,2.0,draft,-16914.899999999998,-0.6,0.0,0.0,False,0.0,0.0,0.0,0.0,-43,-49,4,4,-16994.699999999997,-0.5,53.0,47.5
2,Marko Simonovic,added Marko Simonovic to CHI,0.0,0.0,2020-11-18 00:00:00,1,CHI,/players/s/simonma01.html,2.0,draft,-676.5,-0.2,0.0,0.0,False,0.0,0.0,0.0,0.0,11,24,44,44,-676.5,-0.1,20.0,32.5
22,Ayo Dosunmu,added Ayo Dosunmu to CHI,0.0,0.0,2021-07-29 00:00:00,1,CHI,/players/d/dosunay01.html,12.0,draft,-13604.4,0.6,0.0,0.0,False,0.0,0.0,-24220.999999999996,-8.1,14,-15,38,38,-13283.8,0.5,53.0,24.0
61,Dalen Terry,added Dalen Terry to CHI,0.0,0.0,2022-06-23 00:00:00,1,CHI,/players/t/terryda01.html,44.0,draft,-5248.5,-0.30000000000000004,0.0,0.0,False,0.0,0.0,-7340.4,5.800000000000002,-16,-14,18,18,-5107.2,-0.4,32.0,34.5
94,Matas Buzelis,added Matas Buzelis to CHI,0.0,0.0,2024-06-26 00:00:00,1,CHI,/players/b/buzelma01.html,76.0,draft,-4102.0,-0.3,0.0,0.0,False,0.0,0.0,-29690.600000000002,13.4,-29,-30,11,11,-4352.400000000001,-0.4,41.0,40.0
