,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp
16,Shannon Brown,added Shannon Brown to CLE,-2437.6000000000004,-0.4,2006-06-28 00:00:00,1,CLE,/players/b/brownsh01.html,11.0,draft,-2437.6000000000004,-0.4,0.0,0.0,False,-2437.6000000000004,-0.4,-12758.1,4.000000000000001,6,-17,25,25,-10993.5,1.0
17,Daniel Gibson,added Daniel Gibson to CLE,-9078.4,2.3000000000000003,2006-06-28 00:00:00,1,CLE,/players/g/gibsoda01.html,11.0,draft,-9078.4,2.3000000000000003,0.0,0.0,False,-9078.4,2.3000000000000003,-21836.5,6.300000000000001,28,4,42,42,-9316.0,2.4
43,J.J. Hickson,added J.J. Hickson to CLE,-13196.199999999999,-1.0,2008-06-26 00:00:00,1,CLE,/players/h/hicksjj01.html,23.0,draft,-13196.199999999999,-1.0,0.0,0.0,False,-13196.199999999999,-1.0,-33415.5,10.100000000000003,-7,-26,19,19,-21465.0,0.5
58,Christian Eyenga,added Christian Eyenga to CLE,-4319.2,-0.6,2009-06-25 00:00:00,1,CLE,/players/e/eyengch01.html,35.0,draft,-4319.2,-0.6,0.0,0.0,False,-4319.2,-0.6,-40848.09999999999,13.300000000000004,-13,3,30,30,-4405.8,-0.6
59,Danny Green,added Danny Green to CLE,91.0,0.2,2009-06-25 00:00:00,1,CLE,/players/g/greenda02.html,35.0,draft,91.0,0.2,0.0,0.0,False,91.0,0.2,-40757.09999999999,13.500000000000004,40,41,46,46,37618.200000000004,20.2
77,John Jenkins,added John Jenkins to ATL,-1627.9,0.3,2012-06-28 00:00:00,1,ATL,/players/j/jenkijo01.html,45.0,draft,-1627.9,0.3,0.0,0.0,False,-1627.9,0.3,-57432.09999999999,17.700000000000003,-1,-6,23,23,-4147.7,0.1
78,Mike Scott,added Mike Scott to ATL,-5435.800000000001,0.8,2012-06-28 00:00:00,1,ATL,/players/s/scottmi01.html,45.0,draft,-5435.800000000001,0.8,0.0,0.0,False,-5435.800000000001,0.8,-62867.899999999994,18.500000000000004,22,-7,43,43,-15609.4,0.6
103,Dennis Schröder,added Dennis Schröder to ATL,0.0,0.0,2013-06-27 00:00:00,1,ATL,/players/s/schrode01.html,61.0,draft,-9193.7,1.8,0.0,0.0,False,0.0,0.0,-60921.799999999996,22.60000000000001,2,-33,17,17,-34452.0,3.0
128,Adreian Payne,added Adreian Payne to ATL,0.0,0.0,2014-06-26 00:00:00,1,ATL,/players/p/paynead01.html,77.0,draft,-201.4,0.0,0.0,0.0,False,0.0,0.0,-31219.900000000005,42.6,-36,-24,15,15,-8277.7,-1.4
129,Edy Tavares,added Edy Tavares to ATL,-135.8,0.0,2014-06-26 00:00:00,1,ATL,/players/t/tavarwa01.html,77.0,draft,-135.8,0.0,0.0,0.0,False,-135.8,0.0,-31355.700000000004,42.6,15,30,43,43,-40.400000000000006,0.0
