,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Allen Iverson,added Allen Iverson to PHI,110039.5,42.99999999999999,1996-06-26 00:00:00,1,PHI,/players/i/iversal01.html,1.0,draft,110039.5,42.99999999999999,0.0,0.0,False,110039.5,42.99999999999999,110039.5,42.99999999999999,-2,-2,1,1,120268.8,49.6,3.0,3.0
2,Mark Hendrickson,added Mark Hendrickson to PHI,-1535.1,-0.2,1996-06-26 00:00:00,1,PHI,/players/h/hendrma01.html,1.0,draft,-1535.1,-0.2,0.0,0.0,False,-1535.1,-0.2,108504.4,42.79999999999999,-5,2,31,31,-5730.4,-0.7,29.0,36.0
