,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp
11,Larry Drew,added Larry Drew to DET,-5849.700000000001,-0.7,1980-06-10 00:00:00,1,DET,/players/d/drewla01.html,6.0,draft,-5849.700000000001,-0.7,0.0,0.0,False,-5849.700000000001,-0.7,1280.9000000000005,7.500000000000001,7,-33,17,17,-16533.0,5.0
15,Tony Fuller,added Tony Fuller to DET,-992.0,-0.2,1980-06-10 00:00:00,1,DET,/players/f/fulleto01.html,6.0,draft,-992.0,-0.2,0.0,0.0,False,-992.0,-0.2,288.90000000000055,7.300000000000001,53,75,93,93,-992.0,-0.2
30,Isiah Thomas,added Isiah Thomas to DET,94175.3,41.699999999999996,1981-06-09 00:00:00,1,DET,/players/t/thomais01.html,16.0,draft,94175.3,41.699999999999996,0.0,0.0,False,94175.3,41.699999999999996,77904.90000000001,48.199999999999996,0,0,2,2,92341.6,41.6
31,Kelly Tripucka,added Kelly Tripucka to DET,9710.600000000002,8.5,1981-06-09 00:00:00,1,DET,/players/t/tripuke01.html,16.0,draft,9710.600000000002,8.5,0.0,0.0,False,9710.600000000002,8.5,87615.50000000001,56.699999999999996,3,3,12,12,2095.9,11.2
60,Cliff Levingston,added Cliff Levingston to DET,-1147.5,1.1,1982-06-29 00:00:00,1,DET,/players/l/levincl01.html,27.0,draft,-1147.5,1.1,0.0,0.0,False,-1147.5,1.1,189628.00000000003,87.69999999999997,-3,-25,9,9,-3392.4,7.6
61,Ricky Pierce,added Ricky Pierce to DET,-1563.5,-0.3,1982-06-29 00:00:00,1,DET,/players/p/piercri01.html,27.0,draft,-1563.5,-0.3,0.0,0.0,False,-1563.5,-0.3,188064.50000000003,87.39999999999998,12,13,18,18,26031.500000000004,18.6
62,Walker Russell,added Walker Russell to DET,-5559.8,-1.0,1982-06-29 00:00:00,1,DET,/players/r/russewa01.html,27.0,draft,-5601.0,-1.0,0.0,0.0,False,-5559.8,-1.0,182504.70000000004,86.39999999999998,20,31,78,78,-7598.099999999999,-1.1
87,Ken Austin,added Ken Austin to DET,-137.20000000000002,0.0,1983-06-28 00:00:00,1,DET,/players/a/austike01.html,40.0,draft,-137.20000000000002,0.0,0.0,0.0,False,-137.20000000000002,0.0,186434.80000000002,85.9,63,86,101,101,-137.20000000000002,0.0
109,Tony Campbell,added Tony Campbell to DET,-8804.599999999999,-1.1,1984-06-19 00:00:00,1,DET,/players/c/campbto01.html,48.0,draft,-8804.599999999999,-1.1,0.0,0.0,False,-8804.599999999999,-1.1,128511.80000000002,59.00000000000002,4,-33,20,20,-21252.0,2.2
130,Joe Dumars,added Joe Dumars to DET,29990.399999999998,25.3,1985-06-18 00:00:00,1,DET,/players/d/dumarjo01.html,59.0,draft,29990.399999999998,25.3,0.0,0.0,False,29990.399999999998,25.3,147973.80000000002,84.50000000000001,12,10,18,18,28111.2,25.3
140,John Salley,added John Salley to DET,14444.599999999999,8.8,1986-06-17 00:00:00,1,DET,/players/s/sallejo01.html,65.0,draft,14444.599999999999,8.8,0.0,0.0,False,14444.599999999999,8.8,160678.90000000002,93.10000000000001,2,1,11,11,8262.0,10.5
141,Dennis Rodman,added Dennis Rodman to DET,22118.5,13.9,1986-06-17 00:00:00,1,DET,/players/r/rodmade01.html,65.0,draft,22118.5,13.9,0.0,0.0,False,22118.5,13.9,182797.40000000002,107.00000000000001,21,20,27,27,25955.100000000002,21.0
184,Fennis Dembo,added Fennis Dembo to DET,-799.2,-0.2,1988-06-28 00:00:00,1,DET,/players/d/dembofe01.html,84.0,draft,-799.2,-0.2,0.0,0.0,False,-799.2,-0.2,199261.6,107.19999999999999,-9,12,30,30,-799.2,-0.2
185,Micheal Williams,added Micheal Williams to DET,-1933.2,-0.3,1988-06-28 00:00:00,1,DET,/players/w/willimi02.html,84.0,draft,-1933.2,-0.3,0.0,0.0,False,-1933.2,-0.3,197328.4,106.89999999999999,39,41,48,48,23926.899999999998,11.2
205,Lance Blanks,added Lance Blanks to DET,-953.0,0.0,1990-06-27 00:00:00,1,DET,/players/b/blankla01.html,98.0,draft,-953.0,0.0,0.0,0.0,False,-953.0,0.0,201088.39999999997,110.79999999999998,-3,8,26,26,-3344.0,-0.3
227,Christian Laettner,added Christian Laettner to MIN,7217.6,6.6000000000000005,1992-06-24 00:00:00,1,MIN,/players/l/laettch01.html,114.0,draft,7217.6,6.6000000000000005,0.0,0.0,False,7217.6,6.6000000000000005,214827.59999999995,120.6,-3,-2,3,3,25760.0,19.5
228,Marlon Maxey,added Marlon Maxey to MIN,-3468.8,-0.30000000000000004,1992-06-24 00:00:00,1,MIN,/players/m/maxeyma01.html,114.0,draft,-3468.8,-0.30000000000000004,0.0,0.0,False,-3468.8,-0.30000000000000004,211358.79999999996,120.3,-7,3,28,28,-3438.0,-0.3
229,Chris Smith,added Chris Smith to MIN,-9013.3,-0.3,1992-06-24 00:00:00,1,MIN,/players/s/smithch03.html,114.0,draft,-9013.3,-0.3,0.0,0.0,False,-9013.3,-0.3,202345.49999999997,120.0,-1,2,34,34,-9098.8,-0.3
